,,,,,,,,
NUTRIENTS,,,,,,,,
,,,,,,,,
Dish,calories,fats(g),protein(g),carbohydrates(g),sodium(mg),potassium(mg),sugar(mg),fibres(g)
Avocado toast (2 slices),195,11,5,20,150,425,1000,8
Spaghetti,790,29,26,107,880,N/A,,N/A
Rajma ,318,1.25,21,57,595,1008,4000,16
rice,323,0.7,7,70,912,86,130,1
pizza (12 inch),1390,47,70,161,1930,0,N/A,N/A
french toast,360,7,15,56,622,213,N/A,2
mango pudding,454,22,8,60,N/A,N/A,50,N/A
